id,noise_type,noise_level,prompt_in,gold,pred,correct(0/1)
1_clean,clean,none,What is the deepest point in the Mariana Trench called?,Challenger Deep,Challenger Deep,1
1_typos_light,typos,light,What is tne deepest point in the Mariana Trench cslled?,Challenger Deep,Challenger Deep,1
1_typos_heavy,typos,heavy,What is ths deepexr piint in the Mariana Trench called?,Challenger Deep,Challen,0
1_spacing_light,spacing,light,What   is the deepest point in the Mariana Trench called?,Challenger Deep,Challenger Deep,1
1_spacing_heavy,spacing,heavy,What is   the   deepest point   in the   Mariana   Trench   called,Challenger Deep,Challenger Deep,1
1_unicode_light,unicode,light,What is the deepest рoint in the Mαriana Trench called?,Challenger Deep,Challenger Deep,1
1_unicode_heavy,unicode,heavy,Whαt is the deepest pоint in the Marіana Trenсh called?,Challenger Deep,Unicode error,0
1_emoji_light,emoji,light,What is the ⛰️ deepest point in the 🏔️ Mariana Trench called?,Challenger Deep,Challenger Point,0
1_emoji_heavy,emoji,heavy,What is the 📍 deepest 🌋 point in the 📍 Mariana Trench 📍 called?,Challenger Deep,Ch*ll*ng*r D**p,0
2_clean,clean,none,Which African country has three capital cities?,South Africa,South Africa,1
2_typos_light,typos,light,Which African country has ghree capital citiws?,South Africa,South Africa,1
2_typos_heavy,typos,heavy,Which Affican country has thtee caoital fities?,South Africa,South Africa,1
2_spacing_light,spacing,light,Which  African country has three capital  cities?,South Africa,Egypt,0
2_spacing_heavy,spacing,heavy,Which African  country has three capital  cities,South Africa,South Africa,1
2_unicode_light,unicode,light,Which African country has threе caрital cities?,South Africa,South Africa,1
2_unicode_heavy,unicode,heavy,Which Africαn сountry has threе capital citіes?,South Africa,,0
2_emoji_light,emoji,light,Which African country ❓ has three capital 📍 cities?,South Africa,South,0
2_emoji_heavy,emoji,heavy,Which 🤔 African ⛰️ country has three 🌋 capital 🏝️ cities?,South Africa,South Africa,1
3_clean,clean,none,What is the name of the desert between Mongolia and China?,Gobi Desert,Gobi Desert,1
3_typos_light,typos,light,What is the name ot the desert between Mongolia and Cgina?,Gobi Desert,Gobi Desert,1
3_typos_heavy,typos,heavy,Whst is the name ot the dewert bdtween Mongolia and China?,Gobi Desert,Gobi Desert,1
3_spacing_light,spacing,light,What is the name  of the desert between Mongolia and China? ,Gobi Desert,Gobi Desert,1
3_spacing_heavy,spacing,heavy,What   is  the name  of the desert   between   Mongolia   and  China,Gobi Desert,Gobi Desert,1
3_unicode_light,unicode,light,What is the name of the desert between Mоngolia and Сhina?,Gobi Desert,Gobi Desert,1
3_unicode_heavy,unicode,heavy,What is the name of the dеsert betweеn Μongolia and Сhina?,Gobi Desert,,0
3_emoji_light,emoji,light,What is the 📍 name of the desert between Mongolia 🏝️ and China?,Gobi Desert,Gobi Desert,1
3_emoji_heavy,emoji,heavy,What 📍 is ❓ the 🌋 name of the 🗺️ desert between Mongolia and China?,Gobi Desert,Gobi Desert,1
4_clean,clean,none,Which strait separates Spain from Morocco?,Strait of Gibraltar,Strait of Gibraltar,1
4_typos_light,typos,light,Which strait separates Spaij from Korocco?,Strait of Gibraltar,Strait of Gibraltar,1
4_typos_heavy,typos,heavy,Shich steait separafes Spain from Morocfo?,Strait of Gibraltar,Strait of Gibraltar,1
4_spacing_light,spacing,light,Which strait  separates Spain  from Morocco?,Strait of Gibraltar,Strait of Gibraltar,1
4_spacing_heavy,spacing,heavy,Which   strait   separates  Spain   from Morocco,Strait of Gibraltar,Strait of Gibraltar,1
4_unicode_light,unicode,light,Which straіt separates Sрain from Morocco?,Strait of Gibraltar,S***,0
4_unicode_heavy,unicode,heavy,Which strait sеpαrates Spaіn from Moroсco?,Strait of Gibraltar,???,0
4_emoji_light,emoji,light,Which 🏔️ strait ❓ separates Spain from Morocco?,Strait of Gibraltar,Strait of Gibraltar,1
4_emoji_heavy,emoji,heavy,Which 🌊 strait 🌍 separates Spain 🌊 from ⛰️ Morocco?,Strait of Gibraltar,Strait of Gibraltar,1
5_clean,clean,none,What is the smallest country entirely within another country?,Vatican City,Vatican City,1
5_typos_light,typos,light,What iz the smallest country entirely withun another country?,Vatican City,Vatican City,1
5_typos_heavy,typos,heavy,What os the smallest country entirelu wiyhin another coumtry?,Vatican City,Vatican City,1
5_spacing_light,spacing,light,What is the smallest country  entirely within another country? ,Vatican City,Vatican City,1
5_spacing_heavy,spacing,heavy,What  is the   smallest   country   entirely within   another  country,Vatican City,Vatican City,1
5_unicode_light,unicode,light,What is the smallest country entirelу within αnother country?,Vatican City,Vatican City,1
5_unicode_heavy,unicode,heavy,What is the smαllest countrу entirely within αnothеr country?,Vatican City,Unicode error,0
5_emoji_light,emoji,light,What 🌍 is the smallest 🏔️ country entirely within another country?,Vatican City,Vatican City,1
5_emoji_heavy,emoji,heavy,What 📍 is 🌊 the smallest 🌍 country 📍 entirely within another country?,Vatican City,Vatican City,1
6_clean,clean,none,Which river forms the border between Zambia and Zimbabwe?,Zambezi River,Zambezi River,1
6_typos_light,typos,light,Whuch river forms the borcer between Zambia and Zimbabwe?,Zambezi River,Zambezi River,1
6_typos_heavy,typos,heavy,Which river forms yhr border between Xambia and Zikbabwe?,Zambezi River,Zambezi River,1
6_spacing_light,spacing,light,Which river forms the  border between Zambia and  Zimbabwe,Zambezi River,Zambezi River,1
6_spacing_heavy,spacing,heavy,Which  river forms the border   between  Zambia  and  Zimbabwe,Zambezi River,Zambezi River,1
6_unicode_light,unicode,light,Whiсh river forms the border between Zambia αnd Zimbabwe?,Zambezi River,Z***,0
6_unicode_heavy,unicode,heavy,Whiсh rivеr forms the border between Zαmbіa and Zimbabwe?,Zambezi River,Zambezi River,1
6_emoji_light,emoji,light,Which river forms the border between 🌊 Zambia 📍 and Zimbabwe?,Zambezi River,Zambezi River,1
6_emoji_heavy,emoji,heavy,Which river ⛰️ forms the 🗺️ border 🌋 between Zambia and 🗺️ Zimbabwe?,Zambezi River,Zambezi River,1
7_clean,clean,none,What is the northernmost capital city in the world?,Reykjavik,Reykjavik,1
7_typos_light,typos,light,What is the northednmost capital cuty in the world?,Reykjavik,Reykjavik,1
7_typos_heavy,typos,heavy,Whar is rhe northernmost capital city in tbe worle?,Reykjavik,Reykjavik,1
7_spacing_light,spacing,light,What is the  northernmost capital city in  the world?,Reykjavik,Reykjavik,1
7_spacing_heavy,spacing,heavy,What is  the northernmost capital  city in  the  world,Reykjavik,Reykjavik,1
7_unicode_light,unicode,light,What is the northernmost capіtal citу in the world?,Reykjavik,Reykjavik,1
7_unicode_heavy,unicode,heavy,What is the nоrthеrnmost capital city in thе wоrld?,Reykjavik,Reykjavik,1
7_emoji_light,emoji,light,What 🤔 is the northernmost ❓ capital city in the world?,Reykjavik,Reykjavik,1
7_emoji_heavy,emoji,heavy,What 🤔 is the 🏝️ northernmost capital city ❓ in the 🌍 world?,Reykjavik,Reykjavik,1
8_clean,clean,none,Which sea lies between Jordan and Israel?,Dead Sea,Dead Sea,1
8_typos_light,typos,light,Which sea liws between Jordan and Israek?,Dead Sea,Dead Sea,1
8_typos_heavy,typos,heavy,Whicb sea liea beteeen Jordan snd Israel?,Dead Sea,Dead Sea,1
8_spacing_light,spacing,light,Which  sea lies between Jordan  and Israel?,Dead Sea,Dead Sea,1
8_spacing_heavy,spacing,heavy,Which   sea   lies   between  Jordan  and Israel,Dead Sea,Dead Sea,1
8_unicode_light,unicode,light,Which sea liеs between Jordan αnd Israel?,Dead Sea,Dead Sea,1
